index,oracle_id
1,0004ebd0-dfd6-4276-b4a6-de0003e94237
2,0006faf6-7a61-426c-9034-579f2cfcfa83
3,0007c283-5b7a-4c00-9ca1-b455c8dff8c3
4,000d5588-5a4c-434e-988d-396632ade42c
5,000e5d65-96c3-498b-bd01-72b1a1991850
6,0012bc78-e69d-4a67-a302-e5fe0dfd4407
7,00181784-9213-492a-ba8c-2028969b049e
8,00185f3b-2777-4417-a8e0-4691f41c0ec1
9,00187de2-bc48-4137-97d8-a9a0fafc76c1
10,001c233f-2959-479b-a82a-64a25ac60830
11,001c6369-df13-427d-89df-718d5c09f382
12,002100cd-1ab1-44da-93a0-1269d47a712a
13,00225c40-27ff-410f-a591-5c788c6a2bd6
14,0023888e-7bec-43e0-8dee-d1a4eb94b372
15,00284955-0a1b-4939-9567-a7d34cbcee51
16,002965be-a36f-4a09-9ce0-c6535bca1703
17,002a9cea-8cf7-48ba-83eb-e1c87a7024e5
18,002ad5fa-a20c-4d30-beef-401d89868d67
19,002e767c-0b30-4ad1-a924-88da400a4cff
20,00317e4f-0228-469a-9789-fb6c39976860
21,00358a89-2058-448b-a2fd-389f639ba2da
22,0036d062-10dc-4267-98b4-1d2f6b190a61
23,00378902-90f3-465a-b917-23c0e81a7400
24,0038e74a-b950-47ff-8853-dba6a3b31091
25,003bf21f-6815-4098-a186-aa15f5947541
26,003c48d4-0303-4970-8637-47ae060385aa
27,0040db73-ac11-4c15-a1ac-5a2c4c085f09
28,004584f8-fd89-4a3e-9782-c117dbe1532b
29,0045c5fa-3229-4050-b139-5712fa24b308
30,0045cf16-86dd-4417-ae36-88ca63b30c26
31,004b2032-0d29-4361-b9c8-a3c0c7b63e2c
32,004f82f0-74cc-4bc7-ab22-ab1a5247bc29
33,0056e07b-416b-487e-9e6c-3697db402dd4
34,00573e77-8ff6-4acb-8683-8827d965288f
35,005ee549-1bf5-478f-bc3f-3e791bd7eecf
36,00602959-e9a1-4706-a1cb-70156a6fc713
37,00605b83-faf6-4779-be9d-6a2c8f0ea722
38,00606d5e-a134-4363-9ee6-05e03d58f234
39,00625242-9348-4ef4-b975-f2ac82fee21d
40,0068a341-92a5-470e-a565-9ace69eb04a8
